Company,Symbol,Weight,      Price,Chg,% Chg
Clorox Company,CLX,0.071568,   145.30,0,0.00%
First Republic Bank,FRC,0.071357,   108.79,0,0.00%
D.R. Horton Inc.,DHI,0.070891,   53.50,0,0.00%
International Paper Company,IP,0.069558,   45.65,0,0.00%
Alexandria Real Estate Equities Inc.,ARE,0.068683,   158.76,0,0.00%
Carnival Corporation,CCL,0.068674,   44.85,0,0.00%
Mettler-Toledo International Inc.,MTD,0.068656,   724.82,0,0.00%
Halliburton Company,HAL,0.068436,   20.48,0,0.00%
Hess Corporation,HES,0.06834,   68.02,0,0.00%
Best Buy Co. Inc.,BBY,0.068148,   77.09,0,0.00%
Copart Inc.,CPRT,0.067076,   86.32,0.33,-0.38%
CMS Energy Corporation,CMS,0.067042,   60.90,0,0.00%
Omnicom Group Inc,OMC,0.066484,   78.79,0,0.00%
Skyworks Solutions Inc.,SWKS,0.066317,   99.50,0.08,-0.08%
Arthur J. Gallagher & Co.,AJG,0.06628,   91.94,0,0.00%
Lennar Corporation Class A,LEN,0.066103,   59.35,0,0.00%
Citizens Financial Group Inc.,CFG,0.065373,   38.00,0,0.00%
Healthpeak Properties Inc.,PEAK,0.064963,   34.45,0,0.00%
Church & Dwight Co. Inc.,CHD,0.064707,   67.36,0,0.00%
Nucor Corporation,NUE,0.064573,   54.95,0,0.00%
Laboratory Corporation of America Holdings,LH,0.064382,   171.55,0,0.00%
Equifax Inc.,EFX,0.064359,   138.40,0,0.00%
Regions Financial Corporation,RF,0.063822,   16.52,0,0.00%
Cincinnati Financial Corporation,CINF,0.063712,   107.10,0,0.00%
Martin Marietta Materials Inc.,MLM,0.063356,   260.43,0,0.00%
MGM Resorts International,MGM,0.063109,   31.18,0,0.00%
Amcor PLC,AMCR,0.062804,   10.02,0,0.00%
Cardinal Health Inc.,CAH,0.062797,   56.24,0,0.00%
CarMax Inc.,KMX,0.062602,   98.00,0,0.00%
Kellogg Company,K,0.062007,   64.66,0,0.00%
Teleflex Incorporated,TFX,0.061444,   346.89,0,0.00%
Dover Corporation,DOV,0.061423,   109.47,0,0.00%
Maxim Integrated Products Inc.,MXIM,0.061207,   57.81,0,0.00%
Freeport-McMoRan Inc.,FCX,0.060974,   11.15,-0.01,(-0.09%)
Celanese Corporation,CE,0.06082,   125.96,0,0.00%
Mid-America Apartment Communities Inc.,MAA,0.060334,   138.33,0,0.00%
Kansas City Southern,KSU,0.059809,   153.54,0,0.00%
Huntington Bancshares Incorporated,HBAN,0.059319,   14.91,0.12,-0.81%
Evergy Inc.,EVRG,0.059207,   64.75,0,0.00%
WellCare Health Plans Inc.,WCG,0.059048,   312.16,0,0.00%
Incyte Corporation,INCY,0.058956,   86.70,0,0.00%
Genuine Parts Company,GPC,0.058712,   104.83,0,0.00%
Western Digital Corporation,WDC,0.057392,   50.40,0.06,-0.12%
NetApp Inc.,NTAP,0.057383,   62.87,0,0.00%
Cooper Companies Inc.,COO,0.057137,   301.98,0,0.00%
Westinghouse Air Brake Technologies Corporation,WAB,0.055666,   79.81,0,0.00%
International Flavors & Fragrances Inc.,IFF,0.055641,   133.92,0,0.00%
Concho Resources Inc.,CXO,0.05564,   73.16,0,0.00%
Ulta Beauty Inc,ULTA,0.055623,   246.10,-0.2,(-0.08%)
MarketAxess Holdings Inc.,MKTX,0.055563,   374.90,-6.16,(-1.62%)
CenturyLink Inc.,CTL,0.055551,   14.95,-0.02,(-0.13%)
Waters Corporation,WAT,0.055468,   217.32,0,0.00%
W.W. Grainger Inc.,GWW,0.055423,   323.47,0,0.00%
Baker Hughes Company Class A,BKR,0.055354,   22.69,0,0.00%
Fortinet Inc.,FTNT,0.055289,   101.52,-0.02,(-0.02%)
Principal Financial Group Inc.,PFG,0.054868,   54.62,0,0.00%
Gartner Inc.,IT,0.054788,   159.94,0,0.00%
UDR Inc.,UDR,0.054759,   48.44,0,0.00%
Akamai Technologies Inc.,AKAM,0.054479,   87.50,-0.21,(-0.24%)
Garmin Ltd.,GRMN,0.054396,   95.65,0,0.00%
NortonLifeLock Inc.,NLOK,0.054262,   24.83,0,0.00%
Seagate Technology PLC,STX,0.053633,   59.00,-0.08,(-0.14%)
Conagra Brands Inc.,CAG,0.053569,   28.81,0,0.00%
Citrix Systems Inc.,CTXS,0.053324,   112.59,0,0.00%
Darden Restaurants Inc.,DRI,0.053321,   112.60,0,0.00%
Xylem Inc.,XYL,0.053213,   77.55,0,0.00%
Take-Two Interactive Software Inc.,TTWO,0.053191,   123.23,-0.59,(-0.48%)
Quest Diagnostics Incorporated,DGX,0.053124,   104.22,0,0.00%
Broadridge Financial Solutions Inc.,BR,0.053071,   119.80,0,0.00%
Extra Space Storage Inc.,EXR,0.052815,   107.20,0,0.00%
Masco Corporation,MAS,0.051894,   45.63,0,0.00%
CenterPoint Energy Inc.,CNP,0.051739,   25.45,-0.03,(-0.12%)
Expedia Group Inc.,EXPE,0.051399,   95.54,-0.13,(-0.14%)
Tiffany & Co.,TIF,0.051314,   125.08,0,0.00%
AmerisourceBergen Corporation,ABC,0.050968,   87.30,0,0.00%
Cboe Global Markets Inc,CBOE,0.050894,   119.49,0,0.00%
Expeditors International of Washington Inc.,EXPD,0.050787,   76.39,0,0.00%
Loews Corporation,L,0.050693,   50.16,0,0.00%
Jacobs Engineering Group Inc.,JEC,0.049832,   94.33,0,0.00%
FMC Corporation,FMC,0.049575,   97.00,0,0.00%
Atmos Energy Corporation,ATO,0.049557,   109.49,0,0.00%
DENTSPLY SIRONA Inc.,XRAY,0.04888,   56.63,0,0.00%
Duke Realty Corporation,DRE,0.048687,   35.15,0,0.00%
NVR Inc.,NVR,0.048578,"   3,595.17",0,0.00%
Hologic Inc.,HOLX,0.048546,   47.14,0,0.00%
Alliant Energy Corp,LNT,0.048522,   52.88,0,0.00%
Host Hotels & Resorts Inc.,HST,0.04845,   17.14,0,0.00%
Diamondback Energy Inc.,FANG,0.048408,   77.09,0,0.00%
Qorvo Inc.,QRVO,0.048052,   103.54,-0.21,(-0.20%)
CBS Corporation Class B,CBS,0.047927,   38.57,0,0.00%
Leidos Holdings Inc.,LDOS,0.04758,   91.03,0,0.00%
AES Corporation,AES,0.047228,   18.45,0,0.00%
IDEX Corporation,IEX,0.047018,   162.06,0,0.00%
SVB Financial Group,SIVB,0.046862,   234.06,0,0.00%
Fox Corporation Class A,FOXA,0.046701,   34.27,0,0.00%
Nasdaq Inc.,NDAQ,0.046597,   103.59,0,0.00%
J.M. Smucker Company,SJM,0.046057,   105.00,0,0.00%
Lamb Weston Holdings Inc.,LW,0.046008,   82.94,0,0.00%
Lincoln National Corporation,LNC,0.045903,   58.76,0,0.00%
Brown-Forman Corporation Class B,BF.B,0.045789,   64.71,0,0.00%
United Rentals Inc.,URI,0.045739,   154.34,0,0.00%
Arconic Inc.,ARNC,0.045547,   30.40,-0.46,(-1.49%)
Tractor Supply Company,TSCO,0.045271,   98.49,0,0.00%
Universal Health Services Inc. Class B,UHS,0.044617,   144.27,0,0.00%
Hormel Foods Corporation,HRL,0.044561,   42.38,0,0.00%
Wynn Resorts Limited,WYNN,0.044443,   118.96,1.26,-1.07%
American Airlines Group Inc.,AAL,0.044192,   28.88,0.02,-0.07%
Varian Medical Systems Inc.,VAR,0.044187,   128.51,0,0.00%
Norwegian Cruise Line Holdings Ltd.,NCLH,0.04404,   53.06,0,0.00%
Jack Henry & Associates Inc.,JKHY,0.043902,   149.71,0,0.00%
Western Union Company,WU,0.043673,   26.80,0,0.00%
