Company,Symbol,Weight,      Price,Chg,% Chg
Affiliated Managers Group Inc.,AMG,0.016737,   85.00,0,0.00%
Nordstrom Inc.,JWN,0.015463,   38.35,0.31,-0.81%
L Brands Inc.,LB,0.015334,   18.12,0.05,-0.28%
Gap Inc.,GPS,0.014365,   17.73,-0.01,(-0.06%)
Coty Inc. Class A,COTY,0.014273,   11.91,0,0.00%
TripAdvisor Inc.,TRIP,0.012136,   31.17,0.03,-0.10%
Under Armour Inc. Class A,UAA,0.012097,   17.84,0.05,-0.28%
Under Armour Inc. Class C,UA,0.011717,   15.97,0,0.00%
Macerich Company,MAC,0.011303,   27.80,0,0.00%
News Corporation Class B,NWS,0.006334,   13.32,0,0.00%
